Fund Holdings as of,"2024/04/02"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"9009","KEISEI ELECTRIC RAILWAY LTD","Land Transportation","Equity","3,667,705,000.00","0.25","3,667,705,000.00","593,000.00","6,185.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8253","CREDIT SAISON LTD","Other Financing Business","Equity","3,624,416,000.00","0.25","3,624,416,000.00","1,186,000.00","3,056.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6479","MINEBEA MITSUMI INC","Electric Appliances","Equity","3,490,398,000.00","0.24","3,490,398,000.00","1,186,000.00","2,943.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9201","JAPAN AIRLINES LTD","Air Transportation","Equity","3,408,564,000.00","0.23","3,408,564,000.00","1,186,000.00","2,874.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6361","EBARA CORP","Machinery","Equity","3,263,872,000.00","0.22","3,263,872,000.00","237,200.00","13,760.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate ex REIT","Equity","3,247,268,000.00","0.22","3,247,268,000.00","1,186,000.00","2,738.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6723","RENESAS ELECTRONICS CORP","Electric Appliances","Equity","3,227,106,000.00","0.22","3,227,106,000.00","1,186,000.00","2,721.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6501","HITACHI LTD","Electric Appliances","Equity","3,208,130,000.00","0.22","3,208,130,000.00","237,200.00","13,525.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4151","KYOWA KIRIN LTD","Pharmaceutical","Equity","3,069,961,000.00","0.21","3,069,961,000.00","1,186,000.00","2,588.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8002","MARUBENI CORP","Wholesale Trade","Equity","3,039,718,000.00","0.21","3,039,718,000.00","1,186,000.00","2,563.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2282","NH FOODS LTD","Foods","Equity","2,945,431,000.00","0.20","2,945,431,000.00","593,000.00","4,967.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6702","FUJITSU LTD","Electric Appliances","Equity","2,935,943,000.00","0.20","2,935,943,000.00","1,186,000.00","2,475.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6503","MITSUBISHI ELECTRIC CORP","Electric Appliances","Equity","2,931,792,000.00","0.20","2,931,792,000.00","1,186,000.00","2,472.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8252","MARUI GROUP LTD","Retail Trade","Equity","2,898,584,000.00","0.20","2,898,584,000.00","1,186,000.00","2,444.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9301","MITSUBISHI LOGISTICS CORP","Warehousing & Harbor Transportation Services","Equity","2,885,538,000.00","0.20","2,885,538,000.00","593,000.00","4,866.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3099","ISETAN MITSUKOSHI HOLDINGS LTD","Retail Trade","Equity","2,879,608,000.00","0.20","2,879,608,000.00","1,186,000.00","2,428.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Insurance","Equity","2,852,092,800.00","0.20","2,852,092,800.00","1,067,400.00","2,672.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5713","SUMITOMO METAL MINING LTD","Nonferrous Metal","Equity","2,826,831,000.00","0.19","2,826,831,000.00","593,000.00","4,767.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6326","KUBOTA CORP","Machinery","Equity","2,800,739,000.00","0.19","2,800,739,000.00","1,186,000.00","2,361.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7912","DAI NIPPON PRINTING LTD","Other Products","Equity","2,691,034,000.00","0.18","2,691,034,000.00","593,000.00","4,538.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5802","SUMITOMO ELECTRIC INDUSTRIES LTD","Nonferrous Metal","Equity","2,688,662,000.00","0.18","2,688,662,000.00","1,186,000.00","2,267.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5803","FUJIKURA LTD","Nonferrous Metal","Equity","2,662,570,000.00","0.18","2,662,570,000.00","1,186,000.00","2,245.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9064","YAMATO HOLDINGS LTD","Land Transportation","Equity","2,544,563,000.00","0.17","2,544,563,000.00","1,186,000.00","2,145.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2503","KIRIN HOLDINGS LTD","Foods","Equity","2,478,147,000.00","0.17","2,478,147,000.00","1,186,000.00","2,089.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5332","TOTO LTD","Glass & Ceramics Products","Equity","2,468,659,000.00","0.17","2,468,659,000.00","593,000.00","4,163.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2002","NISSHIN SEIFUN GROUP INC","Foods","Equity","2,443,753,000.00","0.17","2,443,753,000.00","1,186,000.00","2,060.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5019","IDEMITSU KOSAN LTD","Oil & Coal Products","Equity","2,433,672,000.00","0.17","2,433,672,000.00","2,372,000.00","1,026.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2871","NICHIREI CORP","Foods","Equity","2,392,755,000.00","0.16","2,392,755,000.00","593,000.00","4,035.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6504","FUJI ELECTRIC LTD","Electric Appliances","Equity","2,392,162,000.00","0.16","2,392,162,000.00","237,200.00","10,085.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5333","NGK INSULATORS LTD","Glass & Ceramics Products","Equity","2,378,523,000.00","0.16","2,378,523,000.00","1,186,000.00","2,005.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9434","SOFTBANK CORP","Information & Communication","Equity","2,291,945,000.00","0.16","2,291,945,000.00","1,186,000.00","1,932.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4385","MERCARI INC","Information & Communication","Equity","2,253,993,000.00","0.15","2,253,993,000.00","1,186,000.00","1,900.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5101","YOKOHAMA RUBBER LTD","Rubber Products","Equity","2,242,133,000.00","0.15","2,242,133,000.00","593,000.00","3,781.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7911","TOPPAN HOLDINGS INC","Other Products","Equity","2,235,610,000.00","0.15","2,235,610,000.00","593,000.00","3,770.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8630","SOMPO HOLDINGS INC","Insurance","Equity","2,189,593,200.00","0.15","2,189,593,200.00","711,600.00","3,077.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9022","CENTRAL JAPAN RAILWAY","Land Transportation","Equity","2,154,369,000.00","0.15","2,154,369,000.00","593,000.00","3,633.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"1802","OBAYASHI CORP","Construction","Equity","2,111,080,000.00","0.14","2,111,080,000.00","1,186,000.00","1,780.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Information & Communication","Equity","2,103,964,000.00","0.14","2,103,964,000.00","11,860,000.00","177.40","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9107","KAWASAKI KISEN LTD","Marine Transportation","Equity","2,085,699,600.00","0.14","2,085,699,600.00","1,067,400.00","1,954.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6113","AMADA LTD","Machinery","Equity","1,996,631,000.00","0.14","1,996,631,000.00","1,186,000.00","1,683.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3405","KURARAY LTD","Chemicals","Equity","1,919,541,000.00","0.13","1,919,541,000.00","1,186,000.00","1,618.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7731","NIKON CORP","Precision Instruments","Equity","1,827,626,000.00","0.13","1,827,626,000.00","1,186,000.00","1,541.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"1812","KAJIMA CORP","Construction","Equity","1,811,022,000.00","0.12","1,811,022,000.00","593,000.00","3,054.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"1963","JGC HOLDINGS CORP","Construction","Equity","1,783,151,000.00","0.12","1,783,151,000.00","1,186,000.00","1,503.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Banks","Equity","1,772,477,000.00","0.12","1,772,477,000.00","1,186,000.00","1,494.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
