date;open;high;low;close
1954-01-01;362,88;377,27;350,04;352,66
1954-02-01;354,50;369,38;352,51;352,51
1954-03-01;349,65;351,31;314,08;322,99
1954-04-01;322,69;351,67;316,22;345,63
1954-05-01;344,78;344,78;320,84;325,82
1954-06-01;326,39;348,09;322,75;348,09
1954-07-01;352,86;352,86;329,22;331,93
1954-08-01;330,81;347,39;329,44;345,02
1954-09-01;351,27;358,70;347,40;351,33
1954-10-01;350,74;351,79;328,19;328,19
1954-11-01;330,05;332,89;315,61;326,85
1954-12-01;326,12;356,09;323,86;356,09
1955-01-01;361,10;378,76;361,10;369,45
1955-02-01;371,61;380,46;366,99;366,99
1955-03-01;362,60;362,60;346,08;351,50
1955-04-01;352,31;355,93;345,89;345,98
1955-05-01;345,96;352,51;345,96;349,93
1955-06-01;353,19;361,20;348,05;352,47
1955-07-01;352,14;366,90;351,25;366,90
1955-08-01;365,67;387,24;365,67;387,12
1955-09-01;387,46;392,01;379,14;388,42
1955-10-01;387,35;410,29;385,57;409,17
1955-11-01;410,36;410,36;393,28;393,28
1955-12-01;398,11;425,69;398,11;425,69
1956-01-01;428,59;431,60;420,14;423,46
1956-02-01;425,84;439,39;422,50;439,39
1956-03-01;441,78;458,58;440,17;458,58
1956-04-01;462,41;482,71;458,74;473,34
1956-05-01;476,03;490,02;472,10;488,43
1956-06-01;491,03;512,25;491,03;499,17
1956-07-01;482,87;502,92;482,87;500,34
1956-08-01;501,43;507,31;493,69;493,69
1956-09-01;492,92;492,92;482,70;491,71
1956-10-01;492,54;508,98;487,15;508,16
1956-11-01;514,10;556,58;512,94;556,58
1956-12-01;559,40;566,30;538,90;549,14
1957-01-01;549,45;586,01;549,45;567,78
1957-02-01;568,97;587,88;562,13;571,64
1957-03-01;569,75;587,00;560,27;587,00
1957-04-01;590,60;594,81;581,03;589,69
1957-05-01;589,97;595,46;512,63;520,44
1957-06-01;522,20;532,72;517,01;521,60
1957-07-01;515,86;515,86;472,43;486,16
1957-08-01;488,57;530,54;488,57;530,37
1957-09-01;526,52;539,57;523,13;529,35
1957-10-01;534,39;539,59;506,03;510,81
1957-11-01;515,40;517,38;489,70;492,00
1957-12-01;494,01;503,03;471,53;474,55
1958-01-01;475,20;524,25;475,20;522,70
1958-02-01;524,11;534,58;522,08;528,16
1958-03-01;530,18;539,31;516,64;529,98
1958-04-01;529,73;558,31;529,73;556,57
1958-05-01;561,05;567,08;555,27;563,46
1958-06-01;565,14;584,92;565,14;584,42
1958-07-01;586,56;586,56;562,79;571,60
1958-08-01;573,71;594,75;572,72;592,57
1958-09-01;588,06;593,70;577,92;586,20
1958-10-01;588,63;612,70;588,63;607,72
1958-11-01;612,79;632,80;612,79;629,04
1958-12-01;629,77;666,54;629,77;666,54
1959-01-01;671,28;692,12;664,69;692,12
1959-02-01;692,20;721,06;689,97;721,06
1959-03-01;727,81;764,85;721,15;764,85
1959-04-01;763,60;773,39;737,56;745,68
1959-05-01;749,94;803,08;749,94;803,08
1959-06-01;802,13;821,38;785,01;810,07
1959-07-01;811,43;854,91;811,43;854,91
1959-08-01;859,51;881,53;845,95;881,53
1959-09-01;891,45;902,48;881,90;902,48
1959-10-01;902,20;955,64;896,74;955,64
1959-11-01;953,14;976,93;920,39;976,93
1959-12-01;973,65;973,65;854,45;874,88
1960-01-01;869,34;962,55;869,34;957,13
1960-02-01;962,70;1015,06;958,98;1015,06
1960-03-01;1025,02;1060,47;1006,06;1059,49
1960-04-01;1062,25;1094,73;1052,23;1091,21
1960-05-01;1101,95;1109,47;988,47;988,47
1960-06-01;971,93;1089,63;967,22;1089,63
1960-07-01;1092,16;1121,10;1091,08;1097,09
1960-08-01;1097,29;1175,75;1097,29;1175,75
1960-09-01;1178,43;1226,47;1173,67;1226,47
1960-10-01;1230,34;1263,37;1219,85;1250,06
1960-11-01;1262,05;1321,44;1262,05;1287,17
1960-12-01;1309,65;1356,71;1277,17;1356,71
1961-01-01;1366,74;1501,50;1366,74;1493,85
1961-02-01;1514,80;1587,67;1514,80;1524,53
1961-03-01;1536,83;1587,10;1480,79;1587,10
1961-04-01;1590,50;1673,99;1588,70;1645,55
1961-05-01;1646,95;1703,36;1637,44;1679,33
1961-06-01;1648,86;1737,05;1579,73;1737,05
1961-07-01;1742,14;1829,74;1742,14;1745,26
1961-08-01;1752,79;1763,89;1602,37;1602,37
1961-09-01;1615,49;1621,21;1482,02;1526,03
1961-10-01;1486,52;1486,52;1299,76;1329,51
1961-11-01;1360,15;1428,83;1303,15;1325,78
1961-12-01;1333,96;1432,60;1258,00;1432,60
1962-01-01;1425,30;1511,53;1403,07;1511,14
1962-02-01;1518,04;1589,76;1480,28;1502,88
1962-03-01;1479,83;1514,93;1436,01;1449,78
1962-04-01;1420,36;1425,34;1342,30;1378,42
1962-05-01;1369,02;1445,89;1362,30;1367,08
1962-06-01;1384,50;1450,25;1384,50;1450,25
1962-07-01;1462,22;1487,20;1407,19;1410,40
1962-08-01;1412,11;1432,29;1382,87;1416,97
1962-09-01;1412,07;1412,07;1289,61;1289,61
1962-10-01;1261,79;1327,77;1216,04;1259,52
1962-11-01;1286,09;1454,71;1286,09;1441,82
1962-12-01;1443,41;1457,11;1411,32;1420,43
1963-01-01;1418,25;1475,25;1391,22;1458,47
1963-02-01;1464,70;1510,96;1464,70;1500,51
1963-03-01;1508,18;1614,13;1508,18;1614,13
1963-04-01;1624,17;1634,37;1563,64;1592,57
1963-05-01;1592,99;1608,16;1527,74;1554,75
1963-06-01;1560,15;1570,58;1528,52;1570,58
1963-07-01;1596,55;1598,69;1352,73;1386,98
1963-08-01;1370,76;1413,67;1314,01;1349,22
1963-09-01;1344,36;1402,27;1295,81;1301,68
1963-10-01;1316,79;1387,36;1316,79;1358,60
1963-11-01;1334,57;1352,82;1245,23;1278,23
1963-12-01;1257,30;1261,92;1200,64;1225,10
1964-01-01;1204,40;1338,18;1204,40;1326,96
1964-02-01;1329,71;1329,71;1257,26;1257,26
1964-03-01;1253,90;1278,56;1204,63;1222,17
1964-04-01;1233,92;1235,95;1203,21;1232,24
1964-05-01;1238,38;1322,26;1238,38;1318,81
1964-06-01;1319,34;1359,31;1295,69;1359,31
1964-07-01;1352,97;1369,00;1306,72;1309,21
1964-08-01;1313,09;1313,09;1262,19;1276,11
1964-09-01;1293,92;1299,96;1210,34;1217,23
1964-10-01;1223,64;1231,07;1203,14;1212,56
1964-11-01;1207,62;1224,55;1202,69;1209,31
1964-12-01;1209,09;1234,65;1205,98;1216,55
1965-01-01;1227,11;1289,98;1227,11;1240,86
1965-02-01;1242,83;1263,59;1212,88;1212,88
1965-03-01;1206,48;1213,03;1118,79;1132,77
1965-04-01;1127,58;1183,12;1115,07;1176,64
1965-05-01;1177,33;1177,33;1081,51;1096,62
1965-06-01;1092,85;1131,32;1055,60;1060,11
1965-07-01;1064,59;1105,54;1020,49;1105,54
1965-08-01;1120,59;1255,58;1111,69;1255,58
1965-09-01;1249,72;1277,15;1223,74;1223,74
1965-10-01;1210,11;1258,34;1191,89;1257,31
1965-11-01;1268,00;1373,16;1262,80;1373,16
1965-12-01;1377,67;1417,83;1315,26;1417,83
