"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"208","Jumia","JMIA","-12727","5.18","Germany"
"209","Vonovia","VNA.DE","-15522","27.66","Germany"
"210","LEG Immobilien","LEG.DE","-16093","83.04","Germany"
"211","Affimed","AFMD","-21066","6.33","Germany"
"212","Curevac","CVAC","-58724","3","Germany"
"213","Mynaric","MYNA","-185503","4.77","Germany"
"214","Mainz Biomed","MYNZ","-202566","1.0747","Germany"
"215","PREOS Real Estate","PAG.F","-1751770","0.05","Germany"
"216","Atai Life Sciences","ATAI","-3380150","2.57","Germany"
"217","Lilium","LILM","-87303600","0.9215","Germany"
"218","Birkenstock","BIRK","","44.66","Germany"
"219","Ringmetall","HP3A.DE","","3.85","Germany"
"220","thyssenkrupp nucera","NCH2.DE","","14.76","Germany"
