"Rank","Name","Symbol","pe_ratio_ttm","price (USD)","country"
"145","Wacker Chemie","WCH.F","-8.45067","124.51","Germany"
"146","STEICO SE","ST5.DE","0","31.99","Germany"
"147","Biotest","BIO.F","-161.243","44.61","Germany"
"148","Simona","SIM0.F","10.0273","73.62","Germany"
"149","Siemens Energy","ENR.F","-4.59685","19.65","Germany"
"150","Westwing Group","WEW.DE","-11.6557","8.47","Germany"
"151","About You","YOU.DE","-3.90402","4.57","Germany"
"152","Affimed","AFMD","-8.20152","6.33","Germany"
"153","Vitesco Technologies Group","VTSC.DE","-40.3492","71.78","Germany"
"154","UmweltBank","UBK.DE","13.1294","7.04","Germany"
"155","Tradegate Exchange","T2G.F","20.6214","118.02","Germany"
"156","Uniper","UN0.DE","-0.0379701","55.35","Germany"
"157","BASF","BAS.DE","-16.5268","58.1","Germany"
"158","Telefónica Deutschland (O2)","O2D.DE","19.4832","2.54","Germany"
"159","Aurelius Group","AR4.DE","5.41219","19.24","Germany"
"160","Klöckner &amp; Co","KCO.DE","-13.8354","7.37","Germany"
"161","Basler Aktiengesellschaft","BSL.DE","-25.254","12.6","Germany"
"162","Atoss","AOF.F","89.4419","280.97","Germany"
"163","Bayer","BAYN.DE","-7.57408","29.61","Germany"
"164","trivago","TRVG","-5.74592","2.77","Germany"
"165","TAG Immobilien","TEG.F","-3.97555","13.17","Germany"
"166","VIA optronics AG","VIAO","-1.59348","0.761","Germany"
"167","Symrise","SY1.DE","77.8161","116.28","Germany"
"168","VIB Vermögen","VIH1.F","6.04086","11.72","Germany"
"169","Varta","VAR1.F","-1.88353","15.71","Germany"
"170","Atai Life Sciences","ATAI","-2.66304","2.57","Germany"
"171","AUTO1","AG1.F","-4.78363","5.32","Germany"
"172","Serviceware","SJJ.DE","66.404","12.99","Germany"
"173","Hornbach Baumarkt","HBM.HM","7.55438","54.14","Germany"
"174","Gateway Real Estate","GTY.F","-2.56495","0.8","Germany"
"175","GAG Immobilien","GWK3.HM","22.8308","60.09","Germany"
"176","Lechwerke","LEC.F","22.5713","80.12","Germany"
"177","LEG Immobilien","LEG.DE","-2.9809","83.04","Germany"
"178","Leoni AG","LEO.DE","-0.00205297","0.04","Germany"
"179","Lilium","LILM","-1.32427","0.9215","Germany"
"180","Mainova","MNV6.F","18.2859","389.78","Germany"
"181","Mainz Biomed","MYNZ","-0.570681","1.0747","Germany"
"182","Medion AG","MDN.DE","39.2553","12.45","Germany"
"183","Evotec","EVO","-22.2309","7.85","Germany"
"184","Gelsenwasser","WWG.F","0","730.84","Germany"
"185","HanseYachts AG","H9Y.DE","-2.07404","2.82","Germany"
"186","HOMAG Group","HG1.F","19.5537","40.49","Germany"
"187","Hypoport","HYQ.F","-237.856","262.88","Germany"
"188","Immatics","IMTX","-8.87457","10.68","Germany"
"189","Indus Holding","INH.F","-15.3777","28.91","Germany"
"190","InflaRx","IFRX","-2.05327","1.51","Germany"
"191","Henkel","HEN3.DE","14.7103","78.52","Germany"
"192","Jumia","JMIA","-3.16617","5.18","Germany"
"193","Jungheinrich","JUN3.F","0","41.66","Germany"
"194","HeidelbergCement","HEI.DE","11.3794","106.8","Germany"
"195","KAP AG","IUR.F","-24.8342","10.72","Germany"
"196","Evonik Industries","EVK.DE","-28.3071","20.82","Germany"
"197","Mister Spex","MRX.F","-2.44118","3.33","Germany"
"198","PREOS Real Estate","PAG.F","-0.286526","0.05","Germany"
"199","Covestro","1COV.F","-11.3492","56.45","Germany"
"200","ProSiebenSat.1 Media","PSM.F","-20.74","7.8","Germany"
"201","PSI Software","PSAN.DE","-60.3308","22.74","Germany"
"202","Compleo Charging Solutions","C0M.F","-0.0368184","0.31","Germany"
"203","Ringmetall","HP3A.DE","0","3.85","Germany"
"204","Borussia Dortmund","BVB.F","-15.0257","3.68","Germany"
"205","Birkenstock","BIRK","0","44.66","Germany"
"206","Scout24","G24.F","47.22","76.39","Germany"
"207","secunet","YSN.F","41.2811","173.88","Germany"
"208","Porsche","P911.DE","0","101.6","Germany"
"209","PNE AG","PNE3.DE","-60.4073","14.38","Germany"
"210","MTU Aero Engines","MTX.DE","42.0319","245.02","Germany"
"211","Mynaric","MYNA","-1.28259","4.77","Germany"
"212","MYT Netherlands Parent (Mytheresa)","MYTE","-17.3339","3.685","Germany"
"213","DMG Mori","GIL.F","56.6237","47.53","Germany"
"214","Nordex","NDX1.F","-5.31627","13.27","Germany"
"215","Branicks Group","DIC.DE","-41.7111","4.26","Germany"
"216","Northern Data AG","NB2.DE","1.29709","24.25","Germany"
"217","Deutsche Wohnen","DWNI.DE","10.3061","19.32","Germany"
"218","Delivery Hero","DHER.F","-44.637","34.66","Germany"
"219","Curevac","CVAC","-1.91913","3","Germany"
"220","Sedlmayr Grund und Immobilien AG","SPB.F","20.5425","1461.67","Germany"
