"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"186","Branicks Group","DIC.DE","244823183","4.26","Germany"
"187","Basler Aktiengesellschaft","BSL.DE","239431044","12.6","Germany"
"188","Mister Spex","MRX.F","237150953","3.33","Germany"
"189","secunet","YSN.F","236089431","173.88","Germany"
"190","Ringmetall","HP3A.DE","228664603","3.85","Germany"
"191","VIA optronics AG","VIAO","223336591","0.761","Germany"
"192","Northern Data AG","NB2.DE","215016510","24.25","Germany"
"193","SNP Schneider-Neureither &amp; Partner","SHF.DE","213082495","47.75","Germany"
"194","Jumia","JMIA","206157000","5.18","Germany"
"195","Energiekontor","EKT.DE","200886766","69.29","Germany"
"196","HanseYachts AG","H9Y.DE","188733114","2.82","Germany"
"197","Spark Networks","LOV","172362000","0.212","Germany"
"198","Tradegate Exchange","T2G.F","154686117","118.02","Germany"
"199","PNE AG","PNE3.DE","134774990","14.38","Germany"
"200","Zeal Network","TIMA.F","125564113","37.46","Germany"
"201","Atoss","AOF.F","119637242","280.97","Germany"
"202","VIB Vermögen","VIH1.F","117576259","11.72","Germany"
"203","Sedlmayr Grund und Immobilien AG","SPB.F","113172587","1461.67","Germany"
"204","Compleo Charging Solutions","C0M.F","106319414","0.31","Germany"
"205","SFC Energy AG","F3C.DE","99251582","20.59","Germany"
"206","UmweltBank","UBK.DE","97367552","7.04","Germany"
"207","Serviceware","SJJ.DE","91165726","12.99","Germany"
"208","ÖKOWORLD","VVV3.DE","76547636","30.86","Germany"
"209","DocCheck","AJ91.DE","65221210","9.47","Germany"
"210","Immatics","IMTX","58839540","10.68","Germany"
"211","Curevac","CVAC","45944098","3","Germany"
"212","Gateway Real Estate","GTY.F","30335964","0.8","Germany"
"213","Affimed","AFMD","20451475","6.33","Germany"
"214","Mynaric","MYNA","4735844","4.77","Germany"
"215","Mainz Biomed","MYNZ","873999","1.0747","Germany"
"216","Atai Life Sciences","ATAI","334000","2.57","Germany"
"217","PREOS Real Estate","PAG.F","89726","0.05","Germany"
"218","InflaRx","IFRX","64240","1.51","Germany"
"219","Lilium","LILM","0","0.9215","Germany"
"220","IONOS Group","IOS.DE","0","26.04","Germany"
