"Rank","Name","Symbol","marketcap","price (USD)","country"
"155","CEWE","CWC.F","801638112","112.39","Germany"
"156","About You","YOU.DE","790669693","4.57","Germany"
"157","JOST Werke SE","JST.DE","785653980","52.73","Germany"
"158","adesso SE","ADN1.DE","783618398","120.18","Germany"
"159","Indus Holding","INH.F","783273244","28.91","Germany"
"160","SÜSS MicroTec","SMHN.DE","767848662","40.17","Germany"
"161","Klöckner &amp; Co","KCO.DE","735488818","7.37","Germany"
"162","Amadeus Fire","AAD.DE","709309727","130.58","Germany"
"163","Deutsche Pfandbriefbank","PBB.DE","705239532","5.23","Germany"
"164","Curevac","CVAC","671772032","3","Germany"
"165","Varta","VAR1.F","669912378","15.71","Germany"
"166","HOMAG Group","HG1.F","635265483","40.49","Germany"
"167","MBB SE","MBB.DE","633779056","110.87","Germany"
"168","Norma Group","NOEJ.F","617549000","19.08","Germany"
"169","ProCredit","PCZ.DE","580312239","9.85","Germany"
"170","WashTec AG","WSU.DE","575224461","42.98","Germany"
"171","Medion AG","MDN.DE","556340511","12.45","Germany"
"172","Villeroy &amp; Boch","VIB3.DE","547070767","20.63","Germany"
"173","Jumia","JMIA","521190848","5.18","Germany"
"174","Aurelius Group","AR4.DE","513292829","19.24","Germany"
"175","STRATEC","SBS.F","496781395","40.39","Germany"
"176","Knaus Tabbert AG","KTA.DE","494075912","47.31","Germany"
"177","Bertrandt","BDT.DE","491279723","48.61","Germany"
"178","Lilium","LILM","486411040","0.9215","Germany"
"179","ElringKlinger","ZIL2.DE","474033781","7.48","Germany"
"180","STEICO SE","ST5.DE","450592707","31.99","Germany"
"181","Simona","SIM0.F","441749675","73.62","Germany"
"182","Atai Life Sciences","ATAI","426645696","2.57","Germany"
"183","Medios AG","ILM1.DE","413434387","17.32","Germany"
"184","Borussia Dortmund","BVB.F","406944201","3.68","Germany"
"185","DATAGROUP SE","D6H.DE","405928662","48.72","Germany"
"186","Basler Aktiengesellschaft","BSL.DE","387371537","12.6","Germany"
"187","VIB Vermögen","VIH1.F","387235548","11.72","Germany"
"188","New Work","NWO.F","384594855","68.43","Germany"
"189","Branicks Group","DIC.DE","361273140","4.26","Germany"
"190","SFC Energy AG","F3C.DE","357576405","20.59","Germany"
"191","PSI Software","PSAN.DE","352152447","22.74","Germany"
"192","SNP Schneider-Neureither &amp; Partner","SHF.DE","347753971","47.75","Germany"
"193","MYT Netherlands Parent (Mytheresa)","MYTE","312820384","3.685","Germany"
"194","Hawesko","HAW.DE","285959238","31.83","Germany"
"195","M1 Kliniken AG","M12.DE","272662676","14.89","Germany"
"196","UmweltBank","UBK.DE","253767432","7.04","Germany"
"197","Allgeier","AEIN.DE","250297601","21.87","Germany"
"198","Koenig &amp; Bauer","SKB.DE","220426089","13.34","Germany"
"199","ÖKOWORLD","VVV3.DE","215163898","30.86","Germany"
"200","trivago","TRVG","193011376","2.77","Germany"
"201","Westwing Group","WEW.DE","173754543","8.47","Germany"
"202","Leifheit","LEI.DE","158141897","16.62","Germany"
"203","Gateway Real Estate","GTY.F","154819524","0.8","Germany"
"204","Serviceware","SJJ.DE","136981377","12.99","Germany"
"205","Mynaric","MYNA","118937568","4.77","Germany"
"206","Mister Spex","MRX.F","113549155","3.33","Germany"
"207","Ringmetall","HP3A.DE","112045951","3.85","Germany"
"208","ALBA SE","ABA.F","111866609","11.37","Germany"
"209","Affimed","AFMD","94531584","6.33","Germany"
"210","InflaRx","IFRX","88913784","1.51","Germany"
"211","KAP AG","IUR.F","83259896","10.72","Germany"
"212","HanseYachts AG","H9Y.DE","53645409","2.82","Germany"
"213","DocCheck","AJ91.DE","48068346","9.47","Germany"
"214","Mainz Biomed","MYNZ","21879280","1.0747","Germany"
"215","VIA optronics AG","VIAO","17239312","0.761","Germany"
"216","PREOS Real Estate","PAG.F","7541846","0.05","Germany"
"217","Spark Networks","LOV","5566017","0.212","Germany"
"218","Compleo Charging Solutions","C0M.F","1586364","0.31","Germany"
"219","Leoni AG","LEO.DE","1366918","0.04","Germany"
"220","HELMA Eigenheimbau","H5E.DE","1126028","0.28","Germany"
