"Rank","Name","Symbol","employees_count","price (USD)","country"
"189","Medios AG","ILM1.DE","529","17.32","Germany"
"190","Serviceware","SJJ.DE","500","12.99","Germany"
"191","CropEnergies","CE2.F","486","12.02","Germany"
"192","GAG Immobilien","GWK3.HM","477","60.09","Germany"
"193","DocCheck","AJ91.DE","473","9.47","Germany"
"194","Immatics","IMTX","433","10.68","Germany"
"195","ALBA SE","ABA.F","394","11.37","Germany"
"196","SFC Energy AG","F3C.DE","381","20.59","Germany"
"197","Encavis","ECV.F","375","18.25","Germany"
"198","M1 Kliniken AG","M12.DE","366","14.89","Germany"
"199","Lechwerke","LEC.F","342","80.12","Germany"
"200","Branicks Group","DIC.DE","341","4.26","Germany"
"201","HELMA Eigenheimbau","H5E.DE","337","0.28","Germany"
"202","Mynaric","MYNA","293","4.77","Germany"
"203","Spark Networks","LOV","271","0.212","Germany"
"204","UmweltBank","UBK.DE","232","7.04","Germany"
"205","Affimed","AFMD","219","6.33","Germany"
"206","Energiekontor","EKT.DE","188","69.29","Germany"
"207","Zeal Network","TIMA.F","170","37.46","Germany"
"208","Tradegate Exchange","T2G.F","157","118.02","Germany"
"209","Northern Data AG","NB2.DE","157","24.25","Germany"
"210","Atai Life Sciences","ATAI","133","2.57","Germany"
"211","ÖKOWORLD","VVV3.DE","62","30.86","Germany"
"212","Mainz Biomed","MYNZ","58","1.0747","Germany"
"213","Sedlmayr Grund und Immobilien AG","SPB.F","47","1461.67","Germany"
"214","InflaRx","IFRX","44","1.51","Germany"
"215","Porsche SE","PAH3.DE","39","55.57","Germany"
"216","VIB Vermögen","VIH1.F","35","11.72","Germany"
"217","Gateway Real Estate","GTY.F","25","0.8","Germany"
"218","Deutsche EuroShop","DEQ.F","5","20.42","Germany"
"219","PREOS Real Estate","PAG.F","4","0.05","Germany"
"220","HOMAG Group","HG1.F","3","40.49","Germany"
