"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"139","Paul Hartmann","PHH2.F","54034300","232.78","Germany"
"140","HOMAG Group","HG1.F","53293800","40.49","Germany"
"141","Borussia Dortmund","BVB.F","51613700","3.68","Germany"
"142","DATAGROUP SE","D6H.DE","51145400","48.72","Germany"
"143","Mensch und Maschine","MUM.F","49957500","54.89","Germany"
"144","Cancom","COK.F","49039200","32.5","Germany"
"145","Aurelius Group","AR4.DE","47579100","19.24","Germany"
"146","Rhön-Klinikum","RHK.DE","47047100","12.67","Germany"
"147","adesso SE","ADN1.DE","45068700","120.18","Germany"
"148","Eckert &amp; Ziegler","EUZ.F","42854000","39.56","Germany"
"149","Hawesko","HAW.DE","42440600","31.83","Germany"
"150","secunet","YSN.F","39644100","173.88","Germany"
"151","Deutsche EuroShop","DEQ.F","39129200","20.42","Germany"
"152","WashTec AG","WSU.DE","38863100","42.98","Germany"
"153","Nexus AG","NXU.DE","37886800","61.93","Germany"
"154","Atoss","AOF.F","37124400","280.97","Germany"
"155","thyssenkrupp nucera","NCH2.DE","36344400","14.76","Germany"
"156","ÖKOWORLD","VVV3.DE","36242500","30.86","Germany"
"157","Allgeier","AEIN.DE","35538100","21.87","Germany"
"158","SÜSS MicroTec","SMHN.DE","34095600","40.17","Germany"
"159","UmweltBank","UBK.DE","30212000","7.04","Germany"
"160","Medios AG","ILM1.DE","29921200","17.32","Germany"
"161","MBB SE","MBB.DE","28551000","110.87","Germany"
"162","Zeal Network","TIMA.F","26030900","37.46","Germany"
"163","Medion AG","MDN.DE","25899500","12.45","Germany"
"164","KAP AG","IUR.F","22148000","10.72","Germany"
"165","Ringmetall","HP3A.DE","22012800","3.85","Germany"
"166","Koenig &amp; Bauer","SKB.DE","21846600","13.34","Germany"
"167","STRATEC","SBS.F","20138100","40.39","Germany"
"168","Klöckner &amp; Co","KCO.DE","17710800","7.37","Germany"
"169","Gateway Real Estate","GTY.F","13936800","0.8","Germany"
"170","ALBA SE","ABA.F","11579400","11.37","Germany"
"171","SNP Schneider-Neureither &amp; Partner","SHF.DE","11137100","47.75","Germany"
"172","M1 Kliniken AG","M12.DE","10959600","14.89","Germany"
"173","DocCheck","AJ91.DE","9985650","9.47","Germany"
"174","SFC Energy AG","F3C.DE","6437090","20.59","Germany"
"175","PNE AG","PNE3.DE","6255870","14.38","Germany"
